id,name,salutationName,firstName,lastName,title,status,source,industry,opportunityAmount,website,addressStreet,addressCity,addressState,addressCountry,addressPostalCode,emailAddress,phoneNumber,doNotCall,description,convertedAt,createdAt,modifiedAt,accountName,targetListIsOptedOut,middleName,opportunityAmountCurrency,emailAddressIsOptedOut,emailAddressIsInvalid,phoneNumberIsOptedOut,phoneNumberIsInvalid,streamUpdatedAt,opportunityAmountConverted,createdById,createdByName,modifiedById,modifiedByName,assignedUserId,assignedUserName,campaignId,campaignName,createdAccountId,createdAccountName,createdContactId,createdContactName,createdOpportunityId,createdOpportunityName,targetListId,targetListName,originalEmailId,originalEmailName,photoId,photoName
5f61b9b6dc8a12c55,"Andrew Peterson",Dr.,Andrew,Peterson,Ophthalmologist,"In Process",Call,Healthcare,,www.magik-grey.demo.us,"2441 Duffy Street","Los Angeles",,"United States","IN 46347",andrew.peterson@example.com,+12197664114,,,,"2026-02-18 16:00:14","2026-02-18 16:00:14","Magik Grey",,,USD,,,,,,,1,"Jack Adams",1,"Jack Adams",1,"Jack Adams",,,,,,,,,,,,,,
5f61b8dce14ef6b45,"Antonio Ricci",Mr.,Antonio,Ricci,"Chief architect",New,"Public Relations","Real Estate",,www.bilders-square.eu,"Via Capo le Case, 31",Rome,,Italy,39010,antonio.ricci@example.com,+13285250667,,,,"2026-02-18 16:00:14","2026-02-18 16:00:14","Builders Square",,,USD,,,,,,,1,"Jack Adams",1,"Jack Adams",6128991d2f7ac1014,"Adam Powers",,,,,,,,,,,,,,
5f61b7e5df5371a6e,"Charles Patry",Mr.,Charles,Patry,Interpreter,Recycled,"Public Relations",Energy,,www.scottsdale-source.kat.fr,"11, rue du Clair Bocage",Paris,,France,83160,charles.patry@demo.com,+12393953979,,,,"2026-02-18 16:00:14","2026-02-18 16:00:14","Scottsdale Source",,,USD,,,,,,,1,"Jack Adams",1,"Jack Adams",1,"Jack Adams",,,,,,,,,,,,,,
5f61b3790fe4d0aa3,"Nina Thomson",Ms.,Nina,Thomson,"Marketing Manager",New,"Existing Customer",Education,,www.sunflower.de.info,"94 Nottingham Rd",Brighton,,"United Kingdom","SY7 9QP",ninathomson@example.com,+10794476017,,,,"2026-02-18 16:00:14","2026-02-18 16:00:14",Sunflower,,,USD,,,,,,,1,"Jack Adams",1,"Jack Adams",1,"Jack Adams",,,,,,,,,,,,,,
5f61b2b1573319cc2,"Amadei Nowak",Mr.,Amadei,Nowak,"Sales Manager","In Process",Partner,Grocery,,www.waltersmarket.co.eu,"ul. Puławska 23",Warsaw,,Poland,02-595,amadei.nowak@example.com,+18891707045,,,,"2026-02-18 16:00:14","2026-02-18 16:00:14","Walter's Marketplace",,,USD,,,,,,,1,"Jack Adams",1,"Jack Adams",6128966e1667d6220,"Ben Smith",,,,,,,,,,,,,,
5f61b1f5bb402932c,"George Barrios",Mr.,George,Barrios,,Assigned,"Web Site",Agriculture,3000,www.terra.dot.net,"330 Kembery Drive","New York",,"United States","IL 60126",george.barrios@demo.com,+16330617624,,,,"2026-02-18 16:00:14","2026-02-18 16:00:14",Terra,,,USD,,,,,,3000,1,"Jack Adams",1,"Jack Adams",1,"Jack Adams",5f6475a8ad301fbe8,"First Purchase 15% Discount",,,,,,,,,,,,
5f61b0072cc6cf530,"Timothy Harris",Mr.,Timothy,Harris,"Health engineer",Dead,Other,Chemical,,www.gold_medal.demo.com,"471 Harvest Lane","Kansas City",,"United States","MO 64106",timothy.harris@example.com,+16609528448,,,,"2026-02-18 16:00:14","2026-02-18 16:00:14","Gold Medal+",,,USD,,,,,,,1,"Jack Adams",1,"Jack Adams",1,"Jack Adams",,,,,,,,,,,,,,
5f61af0395c3beeaa,"Felix Hirsch",Mr.,Felix,Hirsch,"HR Manager",Converted,"Web Site","Real Estate",,www.carpo_town.co.de,"Fasanenstrasse 61",Hamburg,,Germany,20457,felix.hirsch@demo.com,+10402485076,,,"2020-09-16 06:22:09","2026-02-18 16:00:14","2026-02-18 16:00:14",CarpoTown,,,USD,,,,,,,1,"Jack Adams",1,"Jack Adams",6128991d2f7ac1014,"Adam Powers",,,,,,,,,,,,,,
5f608a5661c4a934b,"Mirella Bruno",Ms.,Mirella,Bruno,"Clothes Designer",New,Call,Creative,,www.BuyGaloshes.it,"Via Nuova del Campo, 77",Rome,,Italy,98145,mira.bruno@demo.com,+13100696080,,,,"2026-02-18 16:00:14","2026-02-18 16:00:14","Buy Galoshes",,,USD,,,,,,,1,"Jack Adams",1,"Jack Adams",1,"Jack Adams",,,,,,,,,,,,,,
5f60895b63f9eb1db,"Basilio Rizzo",Mr.,Basilio,Rizzo,"Safety technician","In Process","Web Site","Electric Power",,www.northernstar.it,"Via Lagrange, 56",Rome,,Italy,01011,basiliorizzo@mail.com,+13887302786,,,,"2026-02-18 16:00:14","2026-02-18 16:00:14","Northern Star",,,USD,,,,,,,1,"Jack Adams",1,"Jack Adams",6128966e1667d6220,"Ben Smith",,,,,,,,,,,,,,
